cohort,replicate,assay,biogroup,cpid,TR
3,1,AR,CYP2E1-WT,4,2927
3,1,AR,CYP2E1-WT,5,2928
3,1,AR,CYP2J2,1,2929
3,1,AR,CYP2J2,2,2930
3,1,AR,CYP2J2,3,2931
3,1,AR,CYP2J2,4,2932
3,1,AR,CYP2J2,5,2933
3,1,AR,CYP3A4,1,2934
3,1,AR,CYP3A4,2,2935
3,1,AR,CYP3A4,3,2936
3,1,AR,CYP3A4,4,2937
3,1,AR,CYP3A4,5,2938
3,1,Viability,CYP2D6,1,2939
3,1,Viability,CYP2D6,2,2940
3,1,Viability,CYP2D6,3,2941
3,1,Viability,CYP2D6,4,2942
3,1,Viability,CYP2D6,5,2943
3,1,Viability,CYP2E1,1,2944
3,1,Viability,CYP2E1,2,2945
3,1,Viability,CYP2E1,3,2946
3,1,Viability,CYP2E1,4,2947
3,1,Viability,CYP2E1,5,2948
3,1,Viability,CYP2E1-WT,1,2949
3,1,Viability,CYP2E1-WT,2,2950
3,1,Viability,CYP2E1-WT,3,2951
3,1,Viability,CYP2E1-WT,4,2952
3,1,Viability,CYP2E1-WT,5,2953
3,1,Viability,CYP2J2,1,2954
3,1,Viability,CYP2J2,2,2955
3,1,Viability,CYP2J2,3,2956
3,1,Viability,CYP2J2,4,2957
3,1,Viability,CYP2J2,5,2958
3,1,Viability,CYP3A4,1,2959
3,1,Viability,CYP3A4,2,2960
3,1,Viability,CYP3A4,3,2961
3,1,Viability,CYP3A4,4,2962
3,1,Viability,CYP3A4,5,2963
3,2,AR,CYP2D6,1,2964
3,2,AR,CYP2D6,2,2965
3,2,AR,CYP2D6,3,2966
3,2,AR,CYP2D6,4,2967
3,2,AR,CYP2D6,5,2968
3,2,AR,CYP2E1,1,2969
3,2,AR,CYP2E1,2,2970
3,2,AR,CYP2E1,3,2971
3,2,AR,CYP2E1,4,2972
3,2,AR,CYP2E1,5,2973
3,2,AR,CYP2E1-WT,1,2974
3,2,AR,CYP2E1-WT,2,2975
3,2,AR,CYP2E1-WT,3,2976
3,2,AR,CYP2E1-WT,4,2977
3,2,AR,CYP2E1-WT,5,2978
3,2,AR,CYP2J2,1,2979
3,2,AR,CYP2J2,2,2980
3,2,AR,CYP2J2,3,2981
3,2,AR,CYP2J2,4,2982
3,2,AR,CYP2J2,5,2983
3,2,AR,CYP3A4,1,2984
3,2,AR,CYP3A4,2,2985
3,2,AR,CYP3A4,3,2986
3,2,AR,CYP3A4,4,2987
3,2,AR,CYP3A4,5,2988
3,2,Viability,CYP2D6,1,2989
3,2,Viability,CYP2D6,2,2990
3,2,Viability,CYP2D6,3,2991
3,2,Viability,CYP2D6,4,2992
3,2,Viability,CYP2D6,5,2993
3,2,Viability,CYP2E1,1,2994
3,2,Viability,CYP2E1,2,2995
3,2,Viability,CYP2E1,3,2996
3,2,Viability,CYP2E1,4,2997
3,2,Viability,CYP2E1,5,2998
3,2,Viability,CYP2E1-WT,1,2999
3,2,Viability,CYP2E1-WT,2,3000
3,2,Viability,CYP2E1-WT,3,3001
3,2,Viability,CYP2E1-WT,4,3002
3,2,Viability,CYP2E1-WT,5,3003
3,2,Viability,CYP2J2,1,3004
3,2,Viability,CYP2J2,2,3005
3,2,Viability,CYP2J2,3,3006
3,2,Viability,CYP2J2,4,3007
3,2,Viability,CYP2J2,5,3008
3,2,Viability,CYP3A4,1,3009
3,2,Viability,CYP3A4,2,3010
3,2,Viability,CYP3A4,3,3011
3,2,Viability,CYP3A4,4,3012
3,2,Viability,CYP3A4,5,3013
3,3,AR,CYP2D6,1,3014
3,3,AR,CYP2D6,2,3015
3,3,AR,CYP2D6,3,3016
3,3,AR,CYP2D6,4,3017
3,3,AR,CYP2D6,5,3018
3,3,AR,CYP2E1,1,3019
3,3,AR,CYP2E1,2,3020
3,3,AR,CYP2E1,3,3021
3,3,AR,CYP2E1,4,3022
3,3,AR,CYP2E1,5,3023
3,3,AR,CYP2E1-WT,1,3024
3,3,AR,CYP2E1-WT,2,3025
3,3,AR,CYP2E1-WT,3,3026
3,3,AR,CYP2E1-WT,4,3027
3,3,AR,CYP2E1-WT,5,3028
3,3,AR,CYP2J2,1,3029
3,3,AR,CYP2J2,2,3030
3,3,AR,CYP2J2,3,3031
3,3,AR,CYP2J2,4,3032
3,3,AR,CYP2J2,5,3033
3,3,AR,CYP3A4,1,3034
